Year,Month,Rainfall,Temp,Hum,Tot_case,Death
2017,8,875.39,28.36,90.44,346,6
2017,9,553.71,28.15,89.75,430,1
2017,10,395.51,26.33,85.88,512,0
2017,11,21.09,21.92,81.12,409,0
2017,12,126.56,19.36,82,126,0
2018,1,5.27,14.7,73.94,26,0
2018,2,26.37,20.52,65.38,7,0
2018,3,63.28,26.76,59.81,19,0
2018,4,400.78,27.95,74.81,29,0
2018,5,622.27,28.01,88.12,52,2
2018,6,479.88,28.4,90.56,295,0
2018,7,490.43,28.56,90.06,946,8
2018,8,279.49,28.41,89.81,1796,14
2018,9,179.3,28.21,86.88,3087,2
2018,10,63.28,25.69,79.5,2406,0
2018,11,21.09,22.49,71.88,1192,0
2018,12,26.37,18.54,68.19,293,0
2019,1,0,18.16,57.06,38,0
2019,2,79.1,21.83,53.81,18,0
2019,3,52.73,25.77,56.44,17,0
2019,4,100.2,30.15,65.44,58,0
2019,5,437.7,30.37,78.38,193,2
2019,6,490.43,29.08,88.69,1884,0
2019,7,748.83,28.58,90.62,16253,6
2019,8,369.14,28.62,89.25,52636,35
2019,9,321.68,28.18,87.94,16856,83
2019,10,284.77,26.33,86.5,8143,25
2019,11,63.28,23.11,81.38,4011,11
2019,12,10.55,17.72,81.62,1247,3
2020,1,42.19,16.44,78.81,199,0
2020,2,0,18.65,63.75,45,0
2020,3,52.73,25.22,55,27,0
2020,4,253.12,28.74,68.5,25,0
2020,5,522.07,28.75,82,10,0
2020,6,448.24,28.54,90.69,20,0
2020,7,432.42,28.73,90.38,23,1
2020,8,284.77,28.5,89.88,68,2
2020,9,363.87,28.58,89.19,47,1
2020,10,390.23,27.84,86.69,164,0
2020,11,31.64,22.56,81.88,546,0
2020,12,0,17.65,81.31,231,0
2021,1,0,16.92,74.44,32,0
2021,2,0,19.98,56,9,0
2021,3,31.64,28.14,50.56,13,0
2021,4,84.1,32.02,53.12,3,0
2021,5,365.78,30.76,74.75,43,0
2021,6,487.28,28.48,89.31,272,0
2021,7,393.58,28.76,89.12,2286,12
2021,8,401.16,28.39,89.94,7698,34
2021,9,229.8,27.91,88.44,7841,22
2021,10,213.23,26.84,84.69,5458,22
2021,11,17.75,21.39,80,3567,7
2021,12,107.68,18.32,81.06,1207,7
2022,1,9,20,76,126,0
2022,2,25,21,72,20,0
2022,3,52,28,71,20,0
2022,4,130,30,75,23,0
2022,5,277,30,79,163,0
2022,6,460,30,85,737,1
2022,7,523,31,86,1571,9
2022,8,420,31,86,3521,11
2022,9,318,30,85,9911,34
2022,10,160,29,83,21932,86
2022,11,42,26,79,19334,113
2022,12,10,22,77,5024,27
2023,1,10,25,73,556,6
2023,2,30,28,66,166,3
2023,3,58,33,60,111,0
2023,4,155,34,66,143,2
2023,5,283,33,75,1036,2
2023,6,379,33,79,5956,34
2023,7,334,32,81,49738,226
2023,8,302,34,79,71956,320
